Date,Open,High,Low,Close,Volume,Symbol,Previous_Close,Daily_Return_Pct,MA_7,MA_30,Volatility_Pct,Price_Range
2025-09-16,1005.85,1015.3,1000.0,1003.25,7602155,BAJFINANCE.NS,1009.85,-0.65,978.18,909.16,1.53,15.3
2025-09-17,1010.0,1011.8,1000.35,1007.5,6995023,BAJFINANCE.NS,1003.25,0.42,987.21,913.23,1.14,11.45
2025-09-18,1007.0,1009.8,990.0,996.5,9738376,BAJFINANCE.NS,1007.5,-1.09,994.08,916.72,2.0,19.8
2025-09-19,991.0,996.0,988.6,992.45,6736440,BAJFINANCE.NS,996.5,-0.41,997.58,920.58,0.75,7.4
2025-09-22,989.95,1010.9,989.0,1006.5,4250045,BAJFINANCE.NS,992.45,1.42,1002.76,924.83,2.21,21.9
2025-09-23,999.0,1028.8,999.0,1025.5,10230040,BAJFINANCE.NS,1006.5,1.89,1005.94,929.77,2.98,29.8
2025-09-24,1021.5,1036.0,1020.4,1029.75,6433184,BAJFINANCE.NS,1025.5,0.41,1008.78,934.84,1.53,15.6
2025-09-25,1020.0,1031.1,1008.0,1012.75,16731453,BAJFINANCE.NS,1029.75,-1.65,1010.14,940.16,2.29,23.1
2025-09-26,1008.05,1010.5,981.05,985.1,9109737,BAJFINANCE.NS,1012.75,-2.73,1006.94,944.33,3.0,29.45
2025-09-29,990.0,997.8,981.1,990.95,5804877,BAJFINANCE.NS,985.1,0.59,1006.14,948.65,1.7,16.7
2025-09-30,990.0,1002.3,989.45,998.9,7182200,BAJFINANCE.NS,990.95,0.8,1007.06,951.77,1.3,12.85
2025-10-01,991.5,1000.0,977.75,987.7,6932272,BAJFINANCE.NS,998.9,-1.12,1004.38,954.62,2.28,22.25
2025-10-03,975.0,992.2,972.0,989.75,7692197,BAJFINANCE.NS,987.7,0.21,999.27,958.02,2.08,20.2
2025-10-06,993.0,1023.0,992.1,1008.9,9299635,BAJFINANCE.NS,989.75,1.93,996.29,961.8,3.11,30.9
2025-10-07,1008.9,1029.5,1008.9,1016.55,7991437,BAJFINANCE.NS,1008.9,0.76,996.84,965.86,2.04,20.6
2025-10-08,1012.05,1028.0,1012.05,1023.15,4448915,BAJFINANCE.NS,1016.55,0.65,1002.27,969.94,1.58,15.95
2025-10-09,1023.0,1029.0,1014.95,1024.1,4444154,BAJFINANCE.NS,1023.15,0.09,1007.01,974.87,1.38,14.05
2025-10-10,1018.1,1027.5,1017.0,1023.85,3714548,BAJFINANCE.NS,1024.1,-0.02,1010.57,979.77,1.03,10.5
2025-10-13,1023.85,1040.0,1021.5,1036.75,7684523,BAJFINANCE.NS,1023.85,1.26,1017.58,985.07,1.81,18.5
2025-10-14,1040.0,1042.1,1011.35,1019.15,7668358,BAJFINANCE.NS,1036.75,-1.7,1021.78,989.39,3.04,30.75
2025-10-15,1026.0,1063.0,1018.4,1059.9,10205158,BAJFINANCE.NS,1019.15,4.0,1029.06,995.05,4.38,44.6
2025-10-16,1062.0,1081.1,1058.85,1065.75,9901992,BAJFINANCE.NS,1059.9,0.55,1036.09,1000.7,2.1,22.25
2025-10-17,1056.1,1076.45,1056.1,1070.1,5761670,BAJFINANCE.NS,1065.75,0.41,1042.8,1005.21,1.93,20.35
2025-10-20,1081.5,1086.5,1072.2,1081.0,5700858,BAJFINANCE.NS,1070.1,1.02,1050.93,1009.99,1.33,14.3
2025-10-21,1084.9,1089.0,1081.0,1086.5,911624,BAJFINANCE.NS,1081.0,0.51,1059.88,1014.73,0.74,8.0
2025-10-23,1090.0,1102.5,1083.9,1094.15,11143407,BAJFINANCE.NS,1086.5,0.7,1068.08,1019.59,1.72,18.6
2025-10-24,1093.5,1098.6,1087.4,1089.75,6440277,BAJFINANCE.NS,1094.15,-0.4,1078.16,1023.65,1.03,11.2
2025-10-27,1090.95,1094.0,1075.75,1084.4,7366175,BAJFINANCE.NS,1089.75,-0.49,1081.66,1027.46,1.7,18.25
2025-10-28,1078.0,1092.4,1063.05,1072.75,12324341,BAJFINANCE.NS,1084.4,-1.07,1082.66,1029.77,2.76,29.35
2025-10-29,1072.0,1079.15,1061.25,1062.95,5386803,BAJFINANCE.NS,1072.75,-0.91,1081.64,1031.54,1.69,17.9
2025-10-30,1063.0,1066.8,1045.0,1052.3,4271927,BAJFINANCE.NS,1062.95,-1.0,1077.54,1033.18,2.09,21.8
2025-10-31,1052.0,1069.45,1041.4,1042.8,5315632,BAJFINANCE.NS,1052.3,-0.9,1071.3,1034.36,2.69,28.05
2025-11-03,1037.0,1048.0,1031.0,1043.1,4135617,BAJFINANCE.NS,1042.8,0.03,1064.01,1035.91,1.65,17.0
2025-11-04,1040.0,1060.4,1035.0,1057.0,6202540,BAJFINANCE.NS,1043.1,1.33,1059.33,1038.06,2.45,25.4
2025-11-06,1037.0,1052.8,1035.0,1041.9,5776277,BAJFINANCE.NS,1057.0,-1.43,1053.26,1039.24,1.72,17.8
2025-11-07,1039.0,1076.9,1034.2,1066.6,6940923,BAJFINANCE.NS,1041.9,2.37,1052.38,1040.61,4.13,42.7
2025-11-10,1066.6,1088.0,1062.9,1085.0,5692236,BAJFINANCE.NS,1066.6,1.73,1055.53,1042.45,2.36,25.1
2025-11-11,1043.7,1043.7,997.0,1005.2,23762890,BAJFINANCE.NS,1085.0,-7.35,1048.8,1042.2,4.68,46.7
2025-11-12,1011.0,1018.4,1008.8,1013.2,11131278,BAJFINANCE.NS,1005.2,0.8,1044.57,1043.14,0.95,9.6
2025-11-13,1012.5,1019.4,1003.5,1005.4,8503994,BAJFINANCE.NS,1013.2,-0.77,1039.19,1043.62,1.58,15.9
2025-11-14,1004.9,1019.9,1002.6,1018.5,4381122,BAJFINANCE.NS,1005.4,1.3,1033.69,1044.27,1.73,17.3
2025-11-17,1021.0,1033.0,1017.0,1026.8,6011603,BAJFINANCE.NS,1018.5,0.81,1031.53,1045.58,1.57,16.0
