Date,Open,High,Low,Close,Volume,Symbol
2024-06-18,824.98,834.74,823.71,828.27,14929083,SBIN.NS
2024-06-19,830.13,843.66,824.45,835.82,32925140,SBIN.NS
2024-06-20,836.21,836.31,825.77,827.14,13985352,SBIN.NS
2024-06-21,828.27,831.36,812.29,819.84,18990090,SBIN.NS
2024-06-24,815.13,819.54,804.89,816.31,12715254,SBIN.NS
2024-06-25,820.52,829.2,817.88,825.67,20917530,SBIN.NS
2024-06-26,823.32,832.09,819.54,828.71,16281760,SBIN.NS
2024-06-27,827.29,830.72,821.75,827.39,20378887,SBIN.NS
2024-06-28,830.23,846.99,827.39,832.24,23636388,SBIN.NS
2024-07-01,832.63,833.76,823.42,825.38,10967797,SBIN.NS
2024-07-02,827.39,829.64,806.95,809.89,21142840,SBIN.NS
2024-07-03,812.68,827.24,808.76,823.42,23598009,SBIN.NS
2024-07-04,826.41,828.27,817.88,822.78,13372587,SBIN.NS
2024-07-05,821.5,844.3,820.52,842.83,24873722,SBIN.NS
2024-07-08,842.83,847.97,836.7,839.4,10359800,SBIN.NS
2024-07-09,842.97,852.83,839.15,844.35,13585081,SBIN.NS
2024-07-10,843.17,843.32,826.9,832.29,17343236,SBIN.NS
2024-07-11,837.58,841.4,833.02,839.84,8501366,SBIN.NS
2024-07-12,839.84,846.01,838.46,842.78,11446064,SBIN.NS
2024-07-15,842.78,869.88,842.78,864.0,25392820,SBIN.NS
2024-07-16,864.93,870.62,857.09,863.36,11893692,SBIN.NS
2024-07-18,863.32,877.28,860.23,875.96,19435183,SBIN.NS
2024-07-19,877.38,881.3,865.91,871.84,14562742,SBIN.NS
2024-07-22,864.1,877.38,850.91,859.54,14614111,SBIN.NS
2024-07-23,865.62,867.09,832.39,846.89,18279212,SBIN.NS
2024-07-24,847.19,850.91,830.52,835.23,19624845,SBIN.NS
2024-07-25,830.82,834.0,824.64,831.8,9522375,SBIN.NS
2024-07-26,828.02,847.24,827.39,845.47,12081506,SBIN.NS
2024-07-29,849.0,871.6,846.21,854.44,26582781,SBIN.NS
2024-07-30,857.48,863.22,851.89,855.62,13528447,SBIN.NS
2024-07-31,856.65,857.73,850.91,855.23,11636874,SBIN.NS
2024-08-01,860.52,864.05,842.53,845.67,11787203,SBIN.NS
2024-08-02,839.84,841.4,829.49,831.16,12609331,SBIN.NS
2024-08-05,813.66,814.99,784.25,795.67,27676951,SBIN.NS
2024-08-06,806.46,810.28,779.99,782.0,17900930,SBIN.NS
2024-08-07,793.08,794.74,784.79,792.73,17692355,SBIN.NS
2024-08-08,796.02,801.7,787.0,792.14,14769069,SBIN.NS
2024-08-09,799.94,813.61,793.61,808.07,15320885,SBIN.NS
2024-08-12,804.45,806.8,795.23,796.6,16120449,SBIN.NS
2024-08-13,797.49,803.86,779.4,781.85,17585172,SBIN.NS
2024-08-14,785.18,793.22,784.64,787.19,11788665,SBIN.NS
2024-08-16,787.19,798.86,787.19,796.11,11427335,SBIN.NS
2024-08-19,798.96,809.15,796.6,797.68,10151482,SBIN.NS
2024-08-20,801.85,806.8,797.34,804.15,10347493,SBIN.NS
2024-08-21,804.15,804.84,795.23,799.5,14607257,SBIN.NS
2024-08-22,802.88,807.68,801.02,804.15,7832917,SBIN.NS
2024-08-23,805.33,805.82,798.47,799.3,5537747,SBIN.NS
2024-08-26,801.9,807.24,797.78,799.01,8523795,SBIN.NS
2024-08-27,801.7,803.32,795.09,799.84,12833290,SBIN.NS
2024-08-28,798.71,801.11,790.62,793.47,10371300,SBIN.NS
2024-08-29,793.61,799.94,791.07,798.47,18247268,SBIN.NS
